"REF_DATE","GEO","DGUID","Harvest disposition","Type of crop","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1988","Nova Scotia","2016A000212","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115113945","4.16.28","70000","","","","0"
"1989","Nova Scotia","2016A000212","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115113945","4.16.28","68800","","","","0"
"1990","Nova Scotia","2016A000212","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115113945","4.16.28","68000","","","","0"
"1991","Nova Scotia","2016A000212","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115113945","4.16.28","67532","","","","0"
"1992","Nova Scotia","2016A000212","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115113945","4.16.28","69600","","","","0"
"1993","Nova Scotia","2016A000212","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115113945","4.16.28","71000","","","","0"
"1994","Nova Scotia","2016A000212","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115113945","4.16.28","71200","","","","0"
"1995","Nova Scotia","2016A000212","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115113945","4.16.28","70400","","","","0"
"1996","Nova Scotia","2016A000212","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115113945","4.16.28","71414","","","","0"
"1997","Nova Scotia","2016A000212","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115113945","4.16.28","72000","","","","0"
"1998","Nova Scotia","2016A000212","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115113945","4.16.28","74000","","","","0"
"1999","Nova Scotia","2016A000212","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115113945","4.16.28","73200","","","","0"
"2000","Nova Scotia","2016A000212","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115113945","4.16.28","73700","","","","0"
"2001","Nova Scotia","2016A000212","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115113945","4.16.28","75100","","","","0"
"2002","Nova Scotia","2016A000212","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115113945","4.16.28","74900","","","","0"
"2003","Nova Scotia","2016A000212","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115113945","4.16.28","72800","","","","0"
"2004","Nova Scotia","2016A000212","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115113945","4.16.28","72800","","","","0"
"2005","Nova Scotia","2016A000212","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115113945","4.16.28","74900","","","","0"
"2006","Nova Scotia","2016A000212","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115113945","4.16.28","75400","","","","0"
"2007","Nova Scotia","2016A000212","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115113945","4.16.28","74900","","","","0"
"2008","Nova Scotia","2016A000212","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115113945","4.16.28","76900","","","","0"
"2009","Nova Scotia","2016A000212","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115113945","4.16.28","72800","","","","0"
"2010","Nova Scotia","2016A000212","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115113945","4.16.28","70000","","","","0"
"2011","Nova Scotia","2016A000212","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115113945","4.16.28","66900","","","","0"
"2012","Nova Scotia","2016A000212","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115113945","4.16.28","62700","","","","0"
"2013","Nova Scotia","2016A000212","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115113945","4.16.28","59900","","","","0"
"2014","Nova Scotia","2016A000212","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115113945","4.16.28","58300","","","","0"
"2015","Nova Scotia","2016A000212","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115113945","4.16.28","56700","","","","0"
"2016","Nova Scotia","2016A000212","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115113945","4.16.28","59300","","","","0"
"2017","Nova Scotia","2016A000212","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115113945","4.16.28","57100","","","","0"
"2018","Nova Scotia","2016A000212","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115113945","4.16.28","55200","","","","0"
"2019","Nova Scotia","2016A000212","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115113945","4.16.28","52970","","","","0"
"2020","Nova Scotia","2016A000212","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115113945","4.16.28","50600","","","","0"
"2021","Nova Scotia","2016A000212","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115113945","4.16.28","48900","","","","0"


