"REF_DATE","GEO","DGUID","Harvest disposition","Type of crop","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2002","New Brunswick","2016A000213","Seeded area (hectares)","Corn for grain","Hectares","149","units","0","v115114006","5.16.11","","..","","","0"
"2003","New Brunswick","2016A000213","Seeded area (hectares)","Corn for grain","Hectares","149","units","0","v115114006","5.16.11","","..","","","0"
"2004","New Brunswick","2016A000213","Seeded area (hectares)","Corn for grain","Hectares","149","units","0","v115114006","5.16.11","","..","","","0"
"2005","New Brunswick","2016A000213","Seeded area (hectares)","Corn for grain","Hectares","149","units","0","v115114006","5.16.11","","..","","","0"
"2006","New Brunswick","2016A000213","Seeded area (hectares)","Corn for grain","Hectares","149","units","0","v115114006","5.16.11","1800","","","","0"
"2007","New Brunswick","2016A000213","Seeded area (hectares)","Corn for grain","Hectares","149","units","0","v115114006","5.16.11","2800","","","","0"
"2008","New Brunswick","2016A000213","Seeded area (hectares)","Corn for grain","Hectares","149","units","0","v115114006","5.16.11","4900","","","","0"
"2009","New Brunswick","2016A000213","Seeded area (hectares)","Corn for grain","Hectares","149","units","0","v115114006","5.16.11","4900","","","","0"
"2010","New Brunswick","2016A000213","Seeded area (hectares)","Corn for grain","Hectares","149","units","0","v115114006","5.16.11","5100","","","","0"
"2011","New Brunswick","2016A000213","Seeded area (hectares)","Corn for grain","Hectares","149","units","0","v115114006","5.16.11","4300","","","","0"
"2012","New Brunswick","2016A000213","Seeded area (hectares)","Corn for grain","Hectares","149","units","0","v115114006","5.16.11","5100","","","","0"
"2013","New Brunswick","2016A000213","Seeded area (hectares)","Corn for grain","Hectares","149","units","0","v115114006","5.16.11","4000","","","","0"
"2014","New Brunswick","2016A000213","Seeded area (hectares)","Corn for grain","Hectares","149","units","0","v115114006","5.16.11","3600","","","","0"
"2015","New Brunswick","2016A000213","Seeded area (hectares)","Corn for grain","Hectares","149","units","0","v115114006","5.16.11","3600","","","","0"
"2016","New Brunswick","2016A000213","Seeded area (hectares)","Corn for grain","Hectares","149","units","0","v115114006","5.16.11","4500","","","","0"
"2017","New Brunswick","2016A000213","Seeded area (hectares)","Corn for grain","Hectares","149","units","0","v115114006","5.16.11","6500","","","","0"
"2018","New Brunswick","2016A000213","Seeded area (hectares)","Corn for grain","Hectares","149","units","0","v115114006","5.16.11","6100","","","","0"
"2019","New Brunswick","2016A000213","Seeded area (hectares)","Corn for grain","Hectares","149","units","0","v115114006","5.16.11","3700","","","","0"
"2020","New Brunswick","2016A000213","Seeded area (hectares)","Corn for grain","Hectares","149","units","0","v115114006","5.16.11","3600","","","","0"
"2021","New Brunswick","2016A000213","Seeded area (hectares)","Corn for grain","Hectares","149","units","0","v115114006","5.16.11","3800","","","","0"
"1980","New Brunswick","2016A000213","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115114007","5.16.29","1950","","","","0"
"1981","New Brunswick","2016A000213","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115114007","5.16.29","1600","","","","0"
"1982","New Brunswick","2016A000213","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115114007","5.16.29","1600","","","","0"
"1983","New Brunswick","2016A000213","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115114007","5.16.29","1600","","","","0"
"1984","New Brunswick","2016A000213","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115114007","5.16.29","1400","","","","0"
"1985","New Brunswick","2016A000213","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115114007","5.16.29","1200","","","","0"
"1986","New Brunswick","2016A000213","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115114007","5.16.29","0","","","","0"
"1987","New Brunswick","2016A000213","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115114007","5.16.29","0","","","","0"
"1988","New Brunswick","2016A000213","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115114007","5.16.29","0","","","","0"
"1989","New Brunswick","2016A000213","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115114007","5.16.29","0","","","","0"
"1990","New Brunswick","2016A000213","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115114007","5.16.29","0","","","","0"
"1991","New Brunswick","2016A000213","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115114007","5.16.29","882","","","","0"
"1992","New Brunswick","2016A000213","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115114007","5.16.29","1400","","","","0"
"1993","New Brunswick","2016A000213","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115114007","5.16.29","1400","","","","0"
"1994","New Brunswick","2016A000213","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115114007","5.16.29","1200","","","","0"
"1995","New Brunswick","2016A000213","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115114007","5.16.29","1200","","","","0"
"1996","New Brunswick","2016A000213","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115114007","5.16.29","1000","","","","0"
"1997","New Brunswick","2016A000213","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115114007","5.16.29","1800","","","","0"
"1998","New Brunswick","2016A000213","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115114007","5.16.29","2200","","","","0"
"1999","New Brunswick","2016A000213","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115114007","5.16.29","1400","","","","0"
"2000","New Brunswick","2016A000213","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115114007","5.16.29","1200","","","","0"
"2001","New Brunswick","2016A000213","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115114007","5.16.29","2000","","","","0"
"2002","New Brunswick","2016A000213","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115114007","5.16.29","2200","","","","0"
"2003","New Brunswick","2016A000213","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115114007","5.16.29","2000","","","","0"
"2004","New Brunswick","2016A000213","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115114007","5.16.29","2000","","","","0"
"2005","New Brunswick","2016A000213","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115114007","5.16.29","2400","","","","0"
"2006","New Brunswick","2016A000213","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115114007","5.16.29","2700","","","","0"
"2007","New Brunswick","2016A000213","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115114007","5.16.29","2800","","","","0"
"2008","New Brunswick","2016A000213","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115114007","5.16.29","3200","","","","0"
"2009","New Brunswick","2016A000213","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115114007","5.16.29","3200","","","","0"
