"REF_DATE","GEO","DGUID","Trade flow detail","Product","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2017","Prince Edward Island","2016A000211","Interprovincial exports","Oilseeds (except canola) [MPG111A02]","Dollars","81","thousands","3","v113669829","3.18.5","10256","","","","0"
"2010","Prince Edward Island","2016A000211","Interprovincial exports","Wheat [MPG111A03]","Dollars","81","thousands","3","v113669830","3.18.6","2388","","","","0"
"2011","Prince Edward Island","2016A000211","Interprovincial exports","Wheat [MPG111A03]","Dollars","81","thousands","3","v113669830","3.18.6","4799","","","","0"
"2012","Prince Edward Island","2016A000211","Interprovincial exports","Wheat [MPG111A03]","Dollars","81","thousands","3","v113669830","3.18.6","5410","","","","0"
"2013","Prince Edward Island","2016A000211","Interprovincial exports","Wheat [MPG111A03]","Dollars","81","thousands","3","v113669830","3.18.6","4862","","","","0"
"2014","Prince Edward Island","2016A000211","Interprovincial exports","Wheat [MPG111A03]","Dollars","81","thousands","3","v113669830","3.18.6","4814","","","","0"
"2015","Prince Edward Island","2016A000211","Interprovincial exports","Wheat [MPG111A03]","Dollars","81","thousands","3","v113669830","3.18.6","6391","","","","0"
"2016","Prince Edward Island","2016A000211","Interprovincial exports","Wheat [MPG111A03]","Dollars","81","thousands","3","v113669830","3.18.6","6920","","","","0"
"2017","Prince Edward Island","2016A000211","Interprovincial exports","Wheat [MPG111A03]","Dollars","81","thousands","3","v113669830","3.18.6","7199","","","","0"
"2010","Prince Edward Island","2016A000211","Interprovincial exports","Grains (except wheat) [MPG111A04]","Dollars","81","thousands","3","v113669831","3.18.7","2220","","","","0"
"2011","Prince Edward Island","2016A000211","Interprovincial exports","Grains (except wheat) [MPG111A04]","Dollars","81","thousands","3","v113669831","3.18.7","6264","","","","0"
"2012","Prince Edward Island","2016A000211","Interprovincial exports","Grains (except wheat) [MPG111A04]","Dollars","81","thousands","3","v113669831","3.18.7","14107","","","","0"
"2013","Prince Edward Island","2016A000211","Interprovincial exports","Grains (except wheat) [MPG111A04]","Dollars","81","thousands","3","v113669831","3.18.7","15903","","","","0"
"2014","Prince Edward Island","2016A000211","Interprovincial exports","Grains (except wheat) [MPG111A04]","Dollars","81","thousands","3","v113669831","3.18.7","12596","","","","0"
