Period,Commodity,Province,Country,State,Value ($),Quantity,Unit of measure
2013-01-01,"1207.99.90 - Oil seeds and oleaginous fruits, o/t hemp seeds, nes, whether or not broken",Alberta,The world,N/A,1010951,1369552,Weight in kilograms
2011-01-01,"1207.99.10 - Hemp seeds, whether or not broken",Alberta,The world,N/A,191858,16329,Weight in kilograms
2017-01-01,"1207.99.90 - Oil seeds and oleaginous fruits, o/t hemp seeds, nes, whether or not broken",Alberta,The world,N/A,250828,329405,Weight in kilograms
2016-01-01,"1207.50.00 - Mustard seeds, whether or not broken",British Columbia,The world,N/A,488384,474538,Weight in kilograms
2017-01-01,"1207.50.00 - Mustard seeds, whether or not broken",British Columbia,The world,N/A,267638,228001,Weight in kilograms
2021-01-01,"1207.50.00 - Mustard seeds, whether or not broken",British Columbia,The world,N/A,1685660,1442540,Weight in kilograms
2013-01-01,"1207.99.10 - Hemp seeds, whether or not broken",British Columbia,The world,N/A,798352,83364,Weight in kilograms
2012-01-01,"1207.99.90 - Oil seeds and oleaginous fruits, o/t hemp seeds, nes, whether or not broken",Newfoundland and Labrador,The world,N/A,21536,6433,Weight in kilograms
2021-01-01,"1207.99.90 - Oil seeds and oleaginous fruits, o/t hemp seeds, nes, whether or not broken",Newfoundland and Labrador,The world,N/A,50634,6268,Weight in kilograms
2021-01-01,"1207.99.90 - Oil seeds and oleaginous fruits, o/t hemp seeds, nes, whether or not broken",Prince Edward Island,The world,N/A,7375,2600,Weight in kilograms
2019-01-01,"1207.30.00 - Castor oil seeds, whether or not broken",Nova Scotia,The world,N/A,1219,618,Weight in kilograms
2016-01-01,"1207.50.00 - Mustard seeds, whether or not broken",Quebec,The world,N/A,194925,159737,Weight in kilograms
2016-01-01,"1207.99.10 - Hemp seeds, whether or not broken",Quebec,The world,N/A,4263588,290824,Weight in kilograms
2011-01-01,"1207.50.00 - Mustard seeds, whether or not broken",Quebec,The world,N/A,163896,126679,Weight in kilograms
2013-01-01,"1207.40.00 - Sesamum seeds, whether or not broken",Quebec,The world,N/A,77026,27373,Weight in kilograms
2019-01-01,"1207.99.10 - Hemp seeds, whether or not broken",Quebec,The world,N/A,1164310,68325,Weight in kilograms
2014-01-01,"1207.99.90 - Oil seeds and oleaginous fruits, o/t hemp seeds, nes, whether or not broken",Quebec,The world,N/A,101788,63980,Weight in kilograms
2020-01-01,"1207.40.00 - Sesamum seeds, whether or not broken",Ontario,The world,N/A,217390,134198,Weight in kilograms
2017-01-01,"1207.50.00 - Mustard seeds, whether or not broken",Ontario,The world,N/A,4072745,3146124,Weight in kilograms
2020-01-01,"1207.50.00 - Mustard seeds, whether or not broken",Ontario,The world,N/A,3599493,2725087,Weight in kilograms
2017-01-01,"1207.99.10 - Hemp seeds, whether or not broken",Ontario,The world,N/A,144072,44057,Weight in kilograms
2011-01-01,"1207.99.90 - Oil seeds & oleaginous frts, excl hemp seeds and safflower seeds, w/o broken",Ontario,The world,N/A,174025,99232,Weight in kilograms
2011-01-01,"1207.50.00 - Mustard seeds, whether or not broken",Manitoba,The world,N/A,12890316,15360428,Weight in kilograms
2014-01-01,"1207.50.00 - Mustard seeds, whether or not broken",Manitoba,The world,N/A,22389445,18965224,Weight in kilograms
2016-01-01,"1207.50.00 - Mustard seeds, whether or not broken",Manitoba,The world,N/A,23282840,16788307,Weight in kilograms
2018-01-01,"1207.50.00 - Mustard seeds, whether or not broken",Manitoba,The world,N/A,15550126,14409300,Weight in kilograms
2019-01-01,"1207.50.00 - Mustard seeds, whether or not broken",Manitoba,The world,N/A,15741788,13809719,Weight in kilograms
2020-01-01,"1207.50.00 - Mustard seeds, whether or not broken",Manitoba,The world,N/A,15003207,13789724,Weight in kilograms
2016-01-01,"1207.60.00 - Safflower seeds, whether or not broken",Manitoba,The world,N/A,164746,150940,Weight in kilograms
2018-01-01,"1207.60.00 - Safflower seeds, whether or not broken",Manitoba,The world,N/A,118293,100777,Weight in kilograms
2012-01-01,"1207.99.10 - Hemp seeds, whether or not broken",Manitoba,The world,N/A,10765257,1044342,Weight in kilograms
2014-01-01,"1207.60.00 - Safflower seeds, whether or not broken",Manitoba,The world,N/A,241913,192431,Weight in kilograms
2014-01-01,"1207.40.00 - Sesamum seeds, whether or not broken",Manitoba,The world,N/A,1137,2031,Weight in kilograms
2013-01-01,"1207.99.10 - Hemp seeds, whether or not broken",Manitoba,The world,N/A,23220978,1932548,Weight in kilograms
2011-01-01,"1207.50.00 - Mustard seeds, whether or not broken",Saskatchewan,The world,N/A,57685363,73977045,Weight in kilograms
2015-01-01,"1207.50.00 - Mustard seeds, whether or not broken",Saskatchewan,The world,N/A,69640143,68811879,Weight in kilograms
2019-01-01,"1207.50.00 - Mustard seeds, whether or not broken",Saskatchewan,The world,N/A,86499500,89799437,Weight in kilograms
2019-01-01,"1207.99.10 - Hemp seeds, whether or not broken",Saskatchewan,The world,N/A,2586309,252991,Weight in kilograms
2011-01-01,"1207.99.90 - Oil seeds & oleaginous frts, excl hemp seeds and safflower seeds, w/o broken",Saskatchewan,The world,N/A,5005625,10763460,Weight in kilograms
2014-01-01,"1207.99.10 - Hemp seeds, whether or not broken",Saskatchewan,The world,N/A,1483239,99663,Weight in kilograms
2018-01-01,"1207.99.90 - Oil seeds and oleaginous fruits, o/t hemp seeds, nes, whether or not broken",Saskatchewan,The world,N/A,294834,50025,Weight in kilograms
2021-01-01,"1207.50.00 - Mustard seeds, whether or not broken",Alberta,The world,N/A,10882167,11989014,Weight in kilograms
2014-01-01,"1207.99.10 - Hemp seeds, whether or not broken",Alberta,The world,N/A,219606,22673,Weight in kilograms
2014-01-01,"1207.99.90 - Oil seeds and oleaginous fruits, o/t hemp seeds, nes, whether or not broken",Alberta,The world,N/A,748464,1075780,Weight in kilograms
2016-01-01,"1207.60.00 - Safflower seeds, whether or not broken",Alberta,The world,N/A,1257,2271,Weight in kilograms
2019-01-01,"1207.99.90 - Oil seeds and oleaginous fruits, o/t hemp seeds, nes, whether or not broken",Alberta,The world,N/A,92202,152724,Weight in kilograms
2020-01-01,"1207.10.00 - Palm nuts and kernels, whether or not broken",British Columbia,The world,N/A,36244,20676,Weight in kilograms
2013-01-01,"1207.21.00 - Cotton seeds, for sowing, whether or not broken",British Columbia,The world,N/A,93,169,Weight in kilograms
2018-01-01,"1207.40.00 - Sesamum seeds, whether or not broken",British Columbia,The world,N/A,251,462,Weight in kilograms
2018-01-01,"1207.50.00 - Mustard seeds, whether or not broken",British Columbia,The world,N/A,460229,179767,Weight in kilograms
2018-01-01,"1207.99.10 - Hemp seeds, whether or not broken",British Columbia,The world,N/A,4438222,300584,Weight in kilograms
2019-01-01,"1207.99.10 - Hemp seeds, whether or not broken",British Columbia,The world,N/A,1576004,119442,Weight in kilograms
2018-01-01,"1207.99.90 - Oil seeds and oleaginous fruits, o/t hemp seeds, nes, whether or not broken",British Columbia,The world,N/A,268340,46780,Weight in kilograms
2019-01-01,"1207.99.90 - Oil seeds and oleaginous fruits, o/t hemp seeds, nes, whether or not broken",Newfoundland and Labrador,The world,N/A,19159,250,Weight in kilograms
2013-01-01,"1207.99.90 - Oil seeds and oleaginous fruits, o/t hemp seeds, nes, whether or not broken",Prince Edward Island,The world,N/A,150650,51068,Weight in kilograms
