Period,Commodity,Province,Country,State,Value ($),Quantity,Unit of measure
2019-01-01,"0701.10.00 - Potatoes seed, fresh or chilled",Ontario,The world,N/A,283695,479,Weight in metric tonne
2019-01-01,"0701.90.00 - Potatoes, fresh or chilled nes",Ontario,The world,N/A,28255367,65097,Weight in metric tonne
2021-01-01,"0701.90.00 - Potatoes, fresh or chilled nes",Ontario,The world,N/A,31628809,64387,Weight in metric tonne
2011-01-01,"0701.10.00 - Potatoes seed, fresh or chilled",Manitoba,The world,N/A,2008674,5744,Weight in metric tonne
2012-01-01,"0701.10.00 - Potatoes seed, fresh or chilled",Manitoba,The world,N/A,2151443,4981,Weight in metric tonne
2017-01-01,"0701.90.00 - Potatoes, fresh or chilled nes",Manitoba,The world,N/A,45124230,90383,Weight in metric tonne
2018-01-01,"0701.10.00 - Potatoes seed, fresh or chilled",Saskatchewan,The world,N/A,2021358,4007,Weight in metric tonne
2019-01-01,"0701.90.00 - Potatoes, fresh or chilled nes",Saskatchewan,The world,N/A,7970189,7636,Weight in metric tonne
2019-01-01,"0701.10.00 - Potatoes seed, fresh or chilled",Alberta,The world,N/A,18491181,38554,Weight in metric tonne
2013-01-01,"0701.90.00 - Potatoes, fresh or chilled nes",British Columbia,The world,N/A,2979854,4855,Weight in metric tonne
2019-01-01,"0701.90.00 - Potatoes, fresh or chilled nes",British Columbia,The world,N/A,7068241,6104,Weight in metric tonne
2020-01-01,"0701.90.00 - Potatoes, fresh or chilled nes",British Columbia,The world,N/A,8117926,7409,Weight in metric tonne
2018-01-01,"0701.10.00 - Potatoes seed, fresh or chilled",British Columbia,The world,N/A,2677861,4241,Weight in metric tonne
2020-01-01,"0701.90.00 - Potatoes, fresh or chilled nes",Newfoundland and Labrador,The world,N/A,85,0,Weight in metric tonne
2015-01-01,"0701.10.00 - Potatoes seed, fresh or chilled",Prince Edward Island,The world,N/A,6548521,11120,Weight in metric tonne
2017-01-01,"0701.90.00 - Potatoes, fresh or chilled nes",Nova Scotia,The world,N/A,177337,340,Weight in metric tonne
2011-01-01,"0701.10.00 - Potatoes seed, fresh or chilled",New Brunswick,The world,N/A,9700062,29735,Weight in metric tonne
2018-01-01,"0701.90.00 - Potatoes, fresh or chilled nes",New Brunswick,The world,N/A,51266285,88007,Weight in metric tonne
2019-01-01,"0701.10.00 - Potatoes seed, fresh or chilled",New Brunswick,The world,N/A,5847201,11460,Weight in metric tonne
2015-01-01,"0701.90.00 - Potatoes, fresh or chilled nes",Quebec,The world,N/A,19255073,38721,Weight in metric tonne
2020-01-01,"0701.90.00 - Potatoes, fresh or chilled nes",Ontario,The world,N/A,35492964,76252,Weight in metric tonne
